subject,group,roi,hemi,category,session,distinctiveness
sub-004,OTC,l_face,l,face,01,-0.08897762402142669
sub-004,OTC,l_face,l,face,02,0.2116606957326946
sub-004,OTC,l_face,l,face,03,0.30280312874900506
sub-004,OTC,l_face,l,face,05,0.14307248942594633
sub-004,OTC,l_face,l,face,06,-0.11668739392657516
sub-004,OTC,l_word,l,word,01,-0.15427151909078227
sub-004,OTC,l_word,l,word,02,-0.18346643972622442
sub-004,OTC,l_word,l,word,03,0.34890311566073073
sub-004,OTC,l_word,l,word,05,-0.5990855681343673
sub-004,OTC,l_object,l,object,01,0.1615585937062839
sub-004,OTC,l_object,l,object,02,0.06994201572604491
sub-004,OTC,l_object,l,object,03,0.13985485691114977
sub-004,OTC,l_object,l,object,05,0.01007531739141429
sub-004,OTC,l_object,l,object,06,-0.0772925021257302
sub-004,OTC,l_house,l,house,01,0.47561729447205864
sub-004,OTC,l_house,l,house,02,0.13907847182833719
sub-004,OTC,l_house,l,house,03,0.22745000619116676
sub-004,OTC,l_house,l,house,05,-0.038303396246106056
sub-004,OTC,l_house,l,house,06,-0.007241664035967756
sub-007,nonOTC,r_face,r,face,01,0.2307269190923009
sub-007,nonOTC,r_face,r,face,03,0.21929899086206336
sub-007,nonOTC,r_face,r,face,04,-0.11370168224594795
sub-007,nonOTC,r_word,r,word,01,-0.12702197728088516
sub-007,nonOTC,r_word,r,word,03,-0.14368395532229128
sub-007,nonOTC,r_word,r,word,04,0.21180298197122846
sub-007,nonOTC,r_object,r,object,01,0.4189489509389756
sub-007,nonOTC,r_object,r,object,03,0.17413565132342415
sub-007,nonOTC,r_object,r,object,04,0.0012718763719315833
sub-007,nonOTC,r_house,r,house,01,0.6700187563117294
sub-007,nonOTC,r_house,r,house,03,0.43972635033429813
sub-007,nonOTC,r_house,r,house,04,0.14976889242826072
sub-008,OTC,l_face,l,face,01,-0.576643480673306
sub-008,OTC,l_face,l,face,02,0.18060334101558448
sub-008,OTC,l_word,l,word,01,0.2900649342846449
sub-008,OTC,l_word,l,word,02,0.02638201119969343
sub-008,OTC,l_object,l,object,01,0.6939251709009185
sub-008,OTC,l_object,l,object,02,0.5330858304954095
sub-008,OTC,l_house,l,house,01,0.26593891479220916
sub-008,OTC,l_house,l,house,02,0.27940931692483556
sub-010,OTC,r_face,r,face,02,0.47901077837695644
