subject,group,roi,category,session,distinctiveness
sub-004,OTC,l_face,face,01,-0.03913289211530587
sub-004,OTC,l_face,face,02,0.20937181870483257
sub-004,OTC,l_face,face,03,0.6659124490125784
sub-004,OTC,l_face,face,05,0.4376420765130238
sub-004,OTC,l_face,face,06,0.42408187538373493
sub-004,OTC,l_word,word,01,0.4026532353557026
sub-004,OTC,l_word,word,02,0.5444452613105365
sub-004,OTC,l_word,word,03,0.5579323135258615
sub-004,OTC,l_word,word,05,0.24247206569826849
sub-004,OTC,l_word,word,06,0.32361323947412585
sub-004,OTC,l_object,object,01,0.2526349222314015
sub-004,OTC,l_object,object,02,0.026741966427372296
sub-004,OTC,l_object,object,03,0.22629197839612178
sub-004,OTC,l_object,object,05,0.20721242950517738
sub-004,OTC,l_object,object,06,-0.1052257334369559
sub-004,OTC,l_house,house,01,0.6514718038106785
sub-004,OTC,l_house,house,02,0.0811795890709628
sub-004,OTC,l_house,house,03,0.08674914846202343
sub-004,OTC,l_house,house,05,-0.11032115759061967
sub-004,OTC,l_house,house,06,-0.0854724366140514
sub-007,nonOTC,r_face,face,01,0.7581904887207064
sub-007,nonOTC,r_face,face,03,0.7734268317696134
sub-007,nonOTC,r_face,face,04,0.45089215068255756
sub-007,nonOTC,r_word,word,01,0.5924817165355556
sub-007,nonOTC,r_word,word,03,0.19752159719641704
sub-007,nonOTC,r_word,word,04,0.27357324485272244
sub-007,nonOTC,r_object,object,01,0.9463904290329599
sub-007,nonOTC,r_object,object,03,0.8267762085312128
sub-007,nonOTC,r_object,object,04,0.6971870806292206
sub-007,nonOTC,r_house,house,01,0.4003465154003439
sub-007,nonOTC,r_house,house,03,0.12198130848936022
sub-007,nonOTC,r_house,house,04,-0.07730486797920272
sub-008,OTC,l_face,face,01,0.34874205015584203
sub-008,OTC,l_face,face,02,0.6290177780891543
sub-008,OTC,l_word,word,01,-0.08797898553024265
sub-008,OTC,l_word,word,02,0.3273016104297051
sub-008,OTC,l_object,object,01,0.9779956437617026
