subject,code,group,hemi,category,geometry_preservation
sub-004,OTC004,OTC,l,face,-0.4205527087746063
sub-004,OTC004,OTC,l,word,-0.45565929495593127
sub-004,OTC004,OTC,l,object,-0.21201258376980925
sub-004,OTC004,OTC,l,house,-0.838352310079427
sub-007,nonOTC007,nonOTC,r,face,0.8710669366113849
sub-007,nonOTC007,nonOTC,r,word,0.24087000079001544
sub-007,nonOTC007,nonOTC,r,object,0.9532589711875055
sub-007,nonOTC007,nonOTC,r,house,-0.08562750649588854
sub-008,OTC008,OTC,l,face,0.3282469537630424
sub-008,OTC008,OTC,l,word,-0.45895169069982383
sub-008,OTC008,OTC,l,object,0.7215504825469615
sub-008,OTC008,OTC,l,house,0.7527660804867524
sub-010,OTC010,OTC,r,face,0.21841208313876093
sub-010,OTC010,OTC,r,word,0.4108267377938364
sub-010,OTC010,OTC,r,object,-0.12534555650964824
sub-010,OTC010,OTC,r,house,-0.49733703836006093
sub-017,OTC017,OTC,r,face,-0.46431608846473027
sub-017,OTC017,OTC,r,word,-0.6273627074793268
sub-017,OTC017,OTC,r,object,0.20169261002959488
sub-017,OTC017,OTC,r,house,-0.009613559322161187
sub-018,control018,control,l,face,0.866978910833786
sub-018,control018,control,l,word,-0.05768027681577925
sub-018,control018,control,l,object,0.5970453921131935
sub-018,control018,control,l,house,-0.0714352870724313
sub-018,control018,control,r,face,0.4415876077562005
sub-018,control018,control,r,word,0.5999741884715621
sub-018,control018,control,r,object,0.7368505082522356
sub-018,control018,control,r,house,0.1390387868650549
sub-021,OTC021,OTC,r,face,0.6219062837687468
sub-021,OTC021,OTC,r,word,0.24359742443087018
sub-021,OTC021,OTC,r,object,0.0791845084598917
sub-021,OTC021,OTC,r,house,-0.5443942853788475
sub-047,nonOTC047,nonOTC,l,face,0.9718421248539086
sub-047,nonOTC047,nonOTC,l,word,0.8670582292129176
sub-047,nonOTC047,nonOTC,l,object,0.7914018787066781
sub-047,nonOTC047,nonOTC,l,house,0.8023233496775344
sub-049,nonOTC049,nonOTC,l,face,0.9746228319889684
sub-049,nonOTC049,nonOTC,l,word,0.9658576456186185
sub-049,nonOTC049,nonOTC,l,object,0.7810936569852844
sub-049,nonOTC049,nonOTC,l,house,0.47410676296527676
sub-070,nonOTC070,nonOTC,r,face,0.8228132536322191
sub-070,nonOTC070,nonOTC,r,word,0.8871592532536121
sub-070,nonOTC070,nonOTC,r,object,0.7316128873214018
sub-070,nonOTC070,nonOTC,r,house,0.9366127350054271
sub-073,nonOTC073,nonOTC,l,face,0.21765435848356446
sub-073,nonOTC073,nonOTC,l,word,0.8495943181502474
sub-073,nonOTC073,nonOTC,l,object,0.7286163361790676
sub-073,nonOTC073,nonOTC,l,house,0.19839013694591323
sub-081,nonOTC081,nonOTC,r,face,0.6407254842063996
sub-081,nonOTC081,nonOTC,r,word,-0.5689782903301176
sub-081,nonOTC081,nonOTC,r,object,0.9777700732364932
sub-081,nonOTC081,nonOTC,r,house,0.9466001162188402
sub-086,nonOTC086,nonOTC,l,face,0.693658526970018
sub-086,nonOTC086,nonOTC,l,word,0.5306764336998158
sub-086,nonOTC086,nonOTC,l,object,0.9971964515131185
sub-086,nonOTC086,nonOTC,l,house,0.628259359638041
sub-022,control022,control,l,face,0.6030896903182038
sub-022,control022,control,l,word,-0.20464199301323488
sub-022,control022,control,l,object,0.3877611574255321
sub-022,control022,control,l,house,0.6705655756794071
sub-022,control022,control,r,face,0.9610633454568727
sub-022,control022,control,r,word,0.5806702940622579
sub-022,control022,control,r,object,-0.09540257576497016
sub-022,control022,control,r,house,0.10973842163959577
sub-052,control052,control,l,face,0.9305892375421123
sub-052,control052,control,l,word,0.648944171601561
sub-052,control052,control,l,object,-0.5209920392669013
