subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-004,OTC004,OTC,l,face,face,Unilateral,0.8056490821021569
sub-004,OTC004,OTC,l,face,word,Unilateral,0.3146670139917777
sub-004,OTC004,OTC,l,face,object,Bilateral,0.46907018034786396
sub-004,OTC004,OTC,l,face,house,Bilateral,0.6206916041771068
sub-004,OTC004,OTC,l,word,face,Unilateral,0.3202480836405711
sub-004,OTC004,OTC,l,word,word,Unilateral,0.3173025921423295
sub-004,OTC004,OTC,l,word,object,Bilateral,0.3605428274267046
sub-004,OTC004,OTC,l,word,house,Bilateral,0.28587032513230215
sub-004,OTC004,OTC,l,object,face,Unilateral,0.2999548363653463
sub-004,OTC004,OTC,l,object,word,Unilateral,0.14166575842052073
sub-004,OTC004,OTC,l,object,object,Bilateral,0.36538931704420347
sub-004,OTC004,OTC,l,object,house,Bilateral,0.5706989462657429
sub-004,OTC004,OTC,l,house,face,Unilateral,0.29341505359154385
sub-004,OTC004,OTC,l,house,word,Unilateral,0.24002548236924995
sub-004,OTC004,OTC,l,house,object,Bilateral,0.5810354431592222
sub-004,OTC004,OTC,l,house,house,Bilateral,0.8766982096816751
sub-007,nonOTC007,nonOTC,r,face,face,Unilateral,0.25496086781249966
sub-007,nonOTC007,nonOTC,r,face,word,Unilateral,0.2180003751354214
sub-007,nonOTC007,nonOTC,r,face,object,Bilateral,0.0629251789408812
sub-007,nonOTC007,nonOTC,r,face,house,Bilateral,0.4645714144579978
sub-007,nonOTC007,nonOTC,r,word,face,Unilateral,0.26551997788101833
sub-007,nonOTC007,nonOTC,r,word,word,Unilateral,0.3098338921180219
sub-007,nonOTC007,nonOTC,r,word,object,Bilateral,0.465489019632435
sub-007,nonOTC007,nonOTC,r,word,house,Bilateral,0.42235115262332296
sub-007,nonOTC007,nonOTC,r,object,face,Unilateral,0.10219073385264313
sub-007,nonOTC007,nonOTC,r,object,word,Unilateral,0.2858527178284801
sub-007,nonOTC007,nonOTC,r,object,object,Bilateral,0.3201655580941985
sub-007,nonOTC007,nonOTC,r,object,house,Bilateral,0.07026287700319922
sub-007,nonOTC007,nonOTC,r,house,face,Unilateral,0.2081020295568929
sub-007,nonOTC007,nonOTC,r,house,word,Unilateral,0.5946486996867674
sub-007,nonOTC007,nonOTC,r,house,object,Bilateral,0.6487619269473216
sub-007,nonOTC007,nonOTC,r,house,house,Bilateral,0.25825343836967396
sub-008,OTC008,OTC,l,face,face,Unilateral,0.3412275749187909
sub-008,OTC008,OTC,l,face,word,Unilateral,0.09212019943364319
sub-008,OTC008,OTC,l,face,object,Bilateral,0.38334103244698525
sub-008,OTC008,OTC,l,face,house,Bilateral,0.25906996614661404
sub-008,OTC008,OTC,l,word,face,Unilateral,0.479303630061739
sub-008,OTC008,OTC,l,word,word,Unilateral,0.3060304957625781
sub-008,OTC008,OTC,l,word,object,Bilateral,0.23415404084049615
sub-008,OTC008,OTC,l,word,house,Bilateral,0.24893144661627192
sub-008,OTC008,OTC,l,object,face,Unilateral,0.07489755395582123
sub-008,OTC008,OTC,l,object,word,Unilateral,0.2989564044187501
sub-008,OTC008,OTC,l,object,object,Bilateral,0.08546740589143846
sub-008,OTC008,OTC,l,object,house,Bilateral,0.32947849356153525
sub-008,OTC008,OTC,l,house,face,Unilateral,0.6028494922826964
sub-008,OTC008,OTC,l,house,word,Unilateral,0.2224374753440334
sub-008,OTC008,OTC,l,house,object,Bilateral,0.5671623969936527
sub-008,OTC008,OTC,l,house,house,Bilateral,0.3526894225789705
sub-010,OTC010,OTC,r,face,face,Unilateral,0.12125409122035168
sub-010,OTC010,OTC,r,face,word,Unilateral,0.2518694290328153
sub-010,OTC010,OTC,r,face,object,Bilateral,0.5001961840158886
sub-010,OTC010,OTC,r,face,house,Bilateral,0.3117743006786846
sub-010,OTC010,OTC,r,word,face,Unilateral,0.36525935069702176
sub-010,OTC010,OTC,r,word,word,Unilateral,0.4243106379352605
sub-010,OTC010,OTC,r,word,object,Bilateral,0.6109911103019524
sub-010,OTC010,OTC,r,word,house,Bilateral,0.42498216649139653
sub-010,OTC010,OTC,r,object,face,Unilateral,0.23532116971231323
sub-010,OTC010,OTC,r,object,word,Unilateral,0.3525156695608323
sub-010,OTC010,OTC,r,object,object,Bilateral,0.2602427400658975
sub-010,OTC010,OTC,r,object,house,Bilateral,0.8237923972784539
sub-010,OTC010,OTC,r,house,face,Unilateral,0.33716178020505494
sub-010,OTC010,OTC,r,house,word,Unilateral,0.10127111674059446
sub-010,OTC010,OTC,r,house,object,Bilateral,0.1136953731566315
sub-010,OTC010,OTC,r,house,house,Bilateral,0.2619598004997971
sub-017,OTC017,OTC,r,face,face,Unilateral,0.42545822714281595
sub-017,OTC017,OTC,r,face,word,Unilateral,0.16698193638715023
sub-017,OTC017,OTC,r,face,object,Bilateral,0.3551401190117406
sub-017,OTC017,OTC,r,face,house,Bilateral,0.3683094104120906
sub-017,OTC017,OTC,r,word,face,Unilateral,0.47622405891814373
sub-017,OTC017,OTC,r,word,word,Unilateral,0.264024530680183
sub-017,OTC017,OTC,r,word,object,Bilateral,0.6270167248825206
sub-017,OTC017,OTC,r,word,house,Bilateral,0.11209053169433564
sub-017,OTC017,OTC,r,object,face,Unilateral,0.05705351160766033
sub-017,OTC017,OTC,r,object,word,Unilateral,0.15602913766190998
sub-017,OTC017,OTC,r,object,object,Bilateral,0.16095792937936737
sub-017,OTC017,OTC,r,object,house,Bilateral,0.3454215444159308
sub-017,OTC017,OTC,r,house,face,Unilateral,0.393953569886609
sub-017,OTC017,OTC,r,house,word,Unilateral,0.38072796967041383
sub-017,OTC017,OTC,r,house,object,Bilateral,0.4274382926488623
sub-017,OTC017,OTC,r,house,house,Bilateral,0.32306628016056077
sub-021,OTC021,OTC,r,face,face,Unilateral,0.11499553605468688
sub-021,OTC021,OTC,r,face,word,Unilateral,0.039555757414764955
sub-021,OTC021,OTC,r,face,object,Bilateral,0.1362236330799621
sub-021,OTC021,OTC,r,face,house,Bilateral,0.22802153821930654
sub-021,OTC021,OTC,r,word,face,Unilateral,0.2358966611801929
sub-021,OTC021,OTC,r,word,word,Unilateral,0.19778509566092223
sub-021,OTC021,OTC,r,word,object,Bilateral,0.22194196146769304
sub-021,OTC021,OTC,r,word,house,Bilateral,0.3621896930849909
sub-021,OTC021,OTC,r,object,face,Unilateral,0.10772297083427303
sub-021,OTC021,OTC,r,object,word,Unilateral,0.1559898796273319
sub-021,OTC021,OTC,r,object,object,Bilateral,0.15986024765864834
sub-021,OTC021,OTC,r,object,house,Bilateral,0.10929978239186301
sub-021,OTC021,OTC,r,house,face,Unilateral,0.5581623202084827
sub-021,OTC021,OTC,r,house,word,Unilateral,0.42301718900248403
sub-021,OTC021,OTC,r,house,object,Bilateral,0.8096994654497427
sub-021,OTC021,OTC,r,house,house,Bilateral,0.2052545608661395
sub-045,nonOTC045,nonOTC,r,face,face,Unilateral,0.07270129807393849
sub-045,nonOTC045,nonOTC,r,face,word,Unilateral,0.10053767313095713
sub-045,nonOTC045,nonOTC,r,face,object,Bilateral,0.21690590136787538
sub-045,nonOTC045,nonOTC,r,face,house,Bilateral,0.12101455478608353
sub-045,nonOTC045,nonOTC,r,word,face,Unilateral,0.11287491220102752
sub-045,nonOTC045,nonOTC,r,word,word,Unilateral,0.25541274632966515
sub-045,nonOTC045,nonOTC,r,word,object,Bilateral,0.2697518574435661
sub-045,nonOTC045,nonOTC,r,word,house,Bilateral,0.2333963901750836
sub-045,nonOTC045,nonOTC,r,object,face,Unilateral,0.15202855368256638
sub-045,nonOTC045,nonOTC,r,object,word,Unilateral,0.08028619346092261
sub-045,nonOTC045,nonOTC,r,object,object,Bilateral,0.19538035729438633
sub-045,nonOTC045,nonOTC,r,object,house,Bilateral,0.05084313995553498
sub-045,nonOTC045,nonOTC,r,house,face,Unilateral,0.23319092739592526
sub-045,nonOTC045,nonOTC,r,house,word,Unilateral,0.06348891362942467
sub-045,nonOTC045,nonOTC,r,house,object,Bilateral,0.5769611701624707
sub-045,nonOTC045,nonOTC,r,house,house,Bilateral,0.5783282881895846
sub-047,nonOTC047,nonOTC,l,face,face,Unilateral,0.11453667661593668
sub-047,nonOTC047,nonOTC,l,face,word,Unilateral,0.10779770102450985
sub-047,nonOTC047,nonOTC,l,face,object,Bilateral,0.04929962029254086
sub-047,nonOTC047,nonOTC,l,face,house,Bilateral,0.11231087595051845
sub-047,nonOTC047,nonOTC,l,word,face,Unilateral,0.35091265279219164
sub-047,nonOTC047,nonOTC,l,word,word,Unilateral,0.242050392390078
