Measure,Category,Type,Mean,SD,N
Selectivity,Face,Unilateral,0.16666666666666666,0.11307814407155198,6
Selectivity,Word,Unilateral,0.12049999999999998,0.10266206699652991,6
Selectivity,Object,Bilateral,0.48966666666666664,0.33277179367648735,6
Selectivity,House,Bilateral,0.34800000000000003,0.1926675893864871,6
Geometry,Face,Unilateral,0.7512163460389054,0.21335575242000623,6
Geometry,Word,Unilateral,0.6743887310114052,0.19126713623199873,6
Geometry,Object,Bilateral,0.6357900072883593,0.22458086878546765,6
Geometry,House,Bilateral,0.21199881774586218,0.3313257416326931,6
Spatial Drift,Face,Unilateral,6.542974238799034,5.139842549358018,6
Spatial Drift,Word,Unilateral,18.42936554768736,15.13748117179104,6
Spatial Drift,Object,Bilateral,5.869503494021269,3.627756214817216,6
Spatial Drift,House,Bilateral,8.032724726765549,7.6833376612857816,6
MDS,Face,Unilateral,0.337957710653424,0.18557995379900757,24
MDS,Word,Unilateral,0.2594093223683262,0.1370862127657801,24
MDS,Object,Bilateral,0.382612318291085,0.22515655959931544,24
MDS,House,Bilateral,0.36823789240832316,0.21409452880170451,24
