Subject,Group,Category,Type,Metric,Value
sub-004,OTC,Face,Asymmetric,Hybrid_Stability,0.020357342420856912
sub-004,OTC,Word,Asymmetric,Hybrid_Stability,0.31995454946060586
sub-004,OTC,Object,Bilateral,Hybrid_Stability,0.37912400981675815
sub-004,OTC,House,Bilateral,Hybrid_Stability,0.22604770531236196
sub-004,OTC,Face,Asymmetric,Spatial_Drift,11.125573532837839
sub-004,OTC,Object,Bilateral,Spatial_Drift,3.1516819522678357
sub-004,OTC,House,Bilateral,Spatial_Drift,14.503606873764141
sub-004,OTC,Face,Asymmetric,RDM_Stability,-0.0018867625750324415
sub-004,OTC,Object,Bilateral,RDM_Stability,-0.1918355657136029
sub-004,OTC,House,Bilateral,RDM_Stability,0.7957529544548849
sub-007,nonOTC,Face,Asymmetric,Hybrid_Stability,0.7619847020322611
sub-007,nonOTC,Word,Asymmetric,Hybrid_Stability,0.8703353208416148
sub-007,nonOTC,Object,Bilateral,Hybrid_Stability,0.5641113119800258
sub-007,nonOTC,House,Bilateral,Hybrid_Stability,0.7437135215655695
sub-007,nonOTC,Face,Asymmetric,Spatial_Drift,3.6310715282359065
sub-007,nonOTC,Word,Asymmetric,Spatial_Drift,9.137597507660512
sub-007,nonOTC,Object,Bilateral,Spatial_Drift,3.6900210149347865
sub-007,nonOTC,House,Bilateral,Spatial_Drift,9.630994217663552
sub-007,nonOTC,Face,Asymmetric,RDM_Stability,0.7254549751647187
sub-007,nonOTC,Word,Asymmetric,RDM_Stability,0.07680577659545551
sub-007,nonOTC,Object,Bilateral,RDM_Stability,0.8884909573179778
sub-007,nonOTC,House,Bilateral,RDM_Stability,0.7586559218689094
sub-008,OTC,Face,Asymmetric,Hybrid_Stability,0.561323648686744
sub-008,OTC,Word,Asymmetric,Hybrid_Stability,0.030736873649624477
sub-008,OTC,Object,Bilateral,Hybrid_Stability,0.24825955472376776
sub-008,OTC,House,Bilateral,Hybrid_Stability,0.4611957853028352
sub-008,OTC,Face,Asymmetric,Spatial_Drift,6.5606490130371835
sub-008,OTC,Word,Asymmetric,Spatial_Drift,2.3320909754902885
sub-008,OTC,Object,Bilateral,Spatial_Drift,10.9881097493651
sub-008,OTC,House,Bilateral,Spatial_Drift,6.422104740010165
sub-008,OTC,Face,Asymmetric,RDM_Stability,0.4580736355289951
sub-008,OTC,Word,Asymmetric,RDM_Stability,0.35886192945988976
sub-008,OTC,Object,Bilateral,RDM_Stability,0.3200262539979527
sub-008,OTC,House,Bilateral,RDM_Stability,0.14671496125259983
sub-010,OTC,Face,Asymmetric,Hybrid_Stability,0.2792789234209722
sub-010,OTC,Object,Bilateral,Hybrid_Stability,0.5267952693070329
sub-010,OTC,Face,Asymmetric,Spatial_Drift,3.7563224541094775
