subject,category,pair,run_pair,peak_x,peak_y,peak_z,peak_z_value,radius,n_voxels
TC,face,0,"(0, 1)",29.5,-61.0,1.0,9.130230903625488,6,925
TC,face,1,"(0, 2)",29.5,-62.0,2.0,10.126495838165283,6,925
TC,face,2,"(1, 2)",29.5,-61.0,1.0,8.98728895187378,6,925
TC,word,0,"(0, 1)",35.5,-65.0,5.0,4.488278031349182,6,925
TC,word,1,"(0, 2)",31.5,-64.0,2.0,5.074533462524414,6,925
TC,word,2,"(1, 2)",32.5,-65.0,2.0,3.2058335542678833,6,925
TC,object,0,"(0, 1)",19.5,-73.0,11.0,7.297637224197388,6,925
TC,object,1,"(0, 2)",17.5,-73.0,11.0,6.523863792419434,6,925
TC,object,2,"(1, 2)",31.5,-65.0,2.0,5.9085609912872314,6,925
TC,house,0,"(0, 1)",23.5,-46.0,9.0,4.046697497367859,6,925
TC,house,1,"(0, 2)",25.5,-48.0,10.0,3.138244867324829,6,925
TC,house,2,"(1, 2)",25.5,-48.0,11.0,2.1358476281166077,6,925
