subject,category,pair,run_pair,peak_x,peak_y,peak_z,peak_z_value,radius,n_voxels
UD,face,0,"(0, 1)",-20.5,-64.0,9.0,2.196530342102051,6,925
UD,face,1,"(0, 2)",-27.5,-35.0,-3.0,2.7007455825805664,6,925
UD,face,2,"(1, 2)",-24.5,-59.0,2.0,2.350658595561981,6,925
UD,word,0,"(0, 1)",-38.5,-67.0,2.0,3.2652523517608643,6,925
UD,word,1,"(0, 2)",-24.5,-37.0,-1.0,2.7831674814224243,6,925
UD,word,2,"(1, 2)",-29.5,-50.0,6.0,3.619580864906311,6,925
UD,object,0,"(0, 1)",-34.5,-64.0,4.0,3.90887188911438,6,925
UD,object,1,"(0, 2)",-29.5,-69.0,8.0,4.016947031021118,6,925
UD,object,2,"(1, 2)",-32.5,-74.0,13.0,4.801953077316284,6,925
UD,house,0,"(0, 1)",-17.5,-44.0,8.0,3.40504390001297,6,925
UD,house,1,"(0, 2)",-19.5,-64.0,8.0,3.641695201396942,6,925
UD,house,2,"(1, 2)",-11.5,-76.0,3.0,2.8317530155181885,6,925
