subject,roi,session,target_category,accuracy,se,n_voxels,n_target,n_others
TC,house,01,face,0.825,0.09464847243000456,925,9,27
TC,house,01,house,0.7583333333333333,0.06400954789890506,925,9,27
TC,house,01,object,0.7458333333333333,0.022438186696393768,925,9,27
TC,house,01,word,0.725,0.05951190357119041,925,9,27
TC,house,02,face,0.7208333333333333,0.07694243880258078,925,9,27
TC,house,02,house,0.75,0.0,925,9,27
TC,house,02,object,0.75,0.0,925,9,27
TC,house,02,word,0.7666666666666667,0.04249182927993988,925,9,27
TC,house,03,face,0.75,0.0,914,9,27
TC,house,03,house,0.75,0.0,914,9,27
TC,house,03,object,0.75,0.0,914,9,27
TC,house,03,word,0.75,0.0,914,9,27
TC,object,01,face,0.8125,0.07034142923389222,925,9,27
TC,object,01,house,0.7666666666666667,0.08374896350934073,925,9,27
TC,object,01,object,0.75,0.0,925,9,27
TC,object,01,word,0.75,0.0,925,9,27
TC,object,02,face,0.75,0.0,925,9,27
TC,object,02,house,0.7458333333333333,0.022438186696393764,925,9,27
TC,object,02,object,0.75,0.0,925,9,27
TC,object,02,word,0.7291666666666666,0.04658474953124561,925,9,27
TC,object,03,face,0.75,0.0,921,9,27
TC,object,03,house,0.7166666666666667,0.055277079839256664,921,9,27
TC,object,03,object,0.75,0.0,921,9,27
TC,object,03,word,0.75,0.03227486121839514,921,9,27
TC,face,01,face,0.925,0.08291561975888499,925,9,27
TC,face,01,house,0.75,0.10206207261596575,925,9,27
TC,face,01,object,0.8083333333333333,0.07021791477646966,925,9,27
TC,face,01,word,0.75,0.0,925,9,27
TC,face,02,face,0.7541666666666667,0.02243818669639376,925,9,27
TC,face,02,house,0.7666666666666667,0.06236095644623236,925,9,27
TC,face,02,object,0.75,0.0,925,9,27
TC,face,02,word,0.75,0.0,925,9,27
TC,face,03,face,0.75,0.0,925,9,27
TC,face,03,house,0.7416666666666667,0.03118047822311618,925,9,27
TC,face,03,object,0.75,0.0,925,9,27
TC,face,03,word,0.7416666666666667,0.03118047822311618,925,9,27
TC,word,01,face,0.7416666666666667,0.04487637339278753,925,9,27
TC,word,01,house,0.7833333333333333,0.05527707983925666,925,9,27
TC,word,01,object,0.7375,0.0673145600891813,925,9,27
TC,word,01,word,0.75,0.0,925,9,27
TC,word,02,face,0.7416666666666667,0.03118047822311618,925,9,27
TC,word,02,house,0.7541666666666667,0.022438186696393764,925,9,27
TC,word,02,object,0.75,0.0,925,9,27
TC,word,02,word,0.75,0.0,925,9,27
TC,word,03,face,0.75,0.0,884,9,27
TC,word,03,house,0.75,0.0,884,9,27
TC,word,03,object,0.7333333333333333,0.04249182927993988,884,9,27
TC,word,03,word,0.75,0.0,884,9,27
