subject,roi,session,target_category,accuracy,se,n_voxels,n_target,n_others
UD,house,01,face,0.7541666666666667,0.022438186696393764,925,9,27
UD,house,01,house,0.7958333333333333,0.06833841444523635,925,9,27
UD,house,01,object,0.75,0.0,925,9,27
UD,house,01,word,0.75,0.0,925,9,27
UD,house,02,face,0.7166666666666667,0.05527707983925666,925,9,27
UD,house,02,house,0.75,0.0,925,9,27
UD,house,02,object,0.75,0.0,925,9,27
UD,house,02,word,0.75,0.0,925,9,27
UD,house,03,face,0.75,0.0,925,9,27
UD,house,03,house,0.75,0.0,925,9,27
UD,house,03,object,0.75,0.0,925,9,27
UD,house,03,word,0.75,0.0,925,9,27
UD,house,05,face,0.75,0.0,820,9,27
UD,house,05,house,0.75,0.0,820,9,27
UD,house,05,object,0.75,0.0,820,9,27
UD,house,05,word,0.7458333333333333,0.02243818669639376,820,9,27
UD,house,06,face,0.75,0.0,925,9,27
UD,house,06,house,0.7458333333333333,0.022438186696393768,925,9,27
UD,house,06,object,0.75,0.0,925,9,27
UD,house,06,word,0.75,0.0,925,9,27
UD,face,01,face,0.75,0.0,925,9,27
UD,face,01,house,0.7458333333333333,0.022438186696393764,925,9,27
UD,face,01,object,0.75,0.0,925,9,27
UD,face,01,word,0.75,0.0,925,9,27
UD,face,02,face,0.75,0.0,858,9,27
UD,face,02,house,0.75,0.0,858,9,27
UD,face,02,object,0.75,0.0,858,9,27
UD,face,02,word,0.75,0.0,858,9,27
UD,face,03,face,0.75,0.0,925,9,27
UD,face,03,house,0.8041666666666667,0.08343743497708662,925,9,27
UD,face,03,object,0.75,0.0,925,9,27
UD,face,03,word,0.7333333333333333,0.05335936864527374,925,9,27
UD,face,05,face,0.75,0.0,925,9,27
UD,face,05,house,0.75,0.0,925,9,27
UD,face,05,object,0.75,0.0,925,9,27
UD,face,05,word,0.7458333333333333,0.022438186696393768,925,9,27
UD,face,06,face,0.75,0.0,925,9,27
UD,face,06,house,0.7458333333333333,0.02243818669639376,925,9,27
UD,face,06,object,0.7458333333333333,0.02243818669639376,925,9,27
UD,face,06,word,0.7416666666666667,0.03118047822311618,925,9,27
UD,word,01,face,0.75,0.0,925,9,27
UD,word,01,house,0.75,0.0,925,9,27
UD,word,01,object,0.75,0.0,925,9,27
UD,word,01,word,0.75,0.0,925,9,27
UD,word,02,face,0.75,0.0,818,9,27
UD,word,02,house,0.75,0.0,818,9,27
UD,word,02,object,0.75,0.0,818,9,27
UD,word,02,word,0.75,0.0,818,9,27
UD,word,03,face,0.75,0.0,925,9,27
UD,word,03,house,0.75,0.0,925,9,27
UD,word,03,object,0.75,0.0,925,9,27
UD,word,03,word,0.75,0.0,925,9,27
UD,word,05,face,0.75,0.0,925,9,27
UD,word,05,house,0.75,0.0,925,9,27
UD,word,05,object,0.75,0.0,925,9,27
UD,word,05,word,0.75,0.0,925,9,27
UD,word,06,face,0.7458333333333333,0.02243818669639376,925,9,27
UD,word,06,house,0.75,0.0,925,9,27
UD,word,06,object,0.75,0.0,925,9,27
UD,word,06,word,0.75,0.0,925,9,27
UD,object,01,face,0.75,0.0,925,9,27
UD,object,01,house,0.75,0.0,925,9,27
UD,object,01,object,0.75,0.0,925,9,27
UD,object,01,word,0.75,0.0,925,9,27
UD,object,02,face,0.75,0.0,925,9,27
UD,object,02,house,0.7375,0.0375,925,9,27
UD,object,02,object,0.7625,0.049476425362657984,925,9,27
UD,object,02,word,0.7583333333333333,0.09090593428863097,925,9,27
UD,object,03,face,0.75,0.0,925,9,27
UD,object,03,house,0.75,0.0,925,9,27
UD,object,03,object,0.75,0.0,925,9,27
UD,object,03,word,0.75,0.0,925,9,27
UD,object,05,face,0.75,0.0,313,9,27
UD,object,05,house,0.725,0.08164965809277262,313,9,27
UD,object,05,object,0.75,0.0,313,9,27
UD,object,05,word,0.75,0.0,313,9,27
UD,object,06,face,0.7458333333333333,0.022438186696393764,925,9,27
UD,object,06,house,0.75,0.0,925,9,27
UD,object,06,object,0.75,0.0,925,9,27
UD,object,06,word,0.75,0.0,925,9,27
